ID,MA,FA,Cs,Avg Mass of A,Radius of A,Pb,Sn,Avg Mass of B,Radius of B,Br,Cl,I,Radius of X,Tolerance Factor,New Tolerance Factor,Octahedral Factor,Band gap,Del H,Del L,Voc,Jsc,FF,PCE,REF
1,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.15,0.2,1.11,24,0.78,20.7,1
2,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.3,0,1.07,22.6,0.806,19.5,2
3,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.55,0.4,0.18,1.03,23.7,0.79,19.2,3
4,0.17,0.83,0,42.00176,2.7747,1,0,207,1.18,0.4,0.6,0,1.814,1.083734431,3.287420461,0.6504961411,1.72,0.4,0.18,1.12,17.1,0.66,12.6,3
5,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.55,0.4,0.18,1.14,23.7,0.78,21,3
6,0.15,0.8075,0,40.3696275,2.657925,1,0,207,1.18,0.15,0,0.835833,1.99481598,1.036275714,3.464403763,0.5915332601,1.62,0.64,0.37,1.21,22.5,0.79,21.51,4
7,0.15,0.8075,0,40.3696275,2.657925,1,0,207,1.18,0.15,0,0.835833,1.99481598,1.036275714,3.464403763,0.5915332601,1.62,0.84,0.57,1.1,22.56,0.785,19.48,4
8,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.59,0.4,0.3,1.03,23.51,0.83,20.1,5
9,1,0,0,32.065,2.7,1,0,207,1.18,0,0.05,0.95,2.0475,1.040120664,3.499495199,0.5763125763,1.55,0.1,0.47,0.92,22.4,0.82,18,6
10,0.25,0.7,0.05,45.4874,2.7185,1,0,207,1.18,0,0,1,2.06,1.042873381,3.50625626,0.572815534,1.56,0.19,0.47,1.08,24.35,0.766,20.5,7
11,0.17,0.83,0,42.00176,2.7747,1.1,0,227.7,1.298,0.16,0,0.933,2.21318,1.00449529,3.518841423,0.5864864132,1.5,0.14,0,1.17,22.7,0.8,21.2,8
12,0.17,0.83,0,42.00176,2.7747,1.1,0,227.7,1.298,0.167,0,0.933,2.22592,1.003420144,3.528656523,0.5831296722,1.5,0.1,0,1.17,22.2,0.77,19.8,8
13,0.17,0.83,0,42.00176,2.7747,1.1,0,227.7,1.298,0.167,0,0.933,2.22592,1.003420144,3.528656523,0.5831296722,1.5,0.1,0,1.16,22.5,0.68,17.6,8
14,0.17,0.83,0,42.00176,2.7747,1.1,0,227.7,1.298,0.167,0,0.933,2.22592,1.003420144,3.528656523,0.5831296722,1.5,0.2,0,1.15,21.5,0.76,18.9,8
15,0.17,0.83,0,42.00176,2.7747,1.1,0,227.7,1.298,0.167,0,0.933,2.22592,1.003420144,3.528656523,0.5831296722,1.5,0.3,0,1.13,22.6,0.71,18.5,8
16,0.17,0.83,0,42.00176,2.7747,1.1,0,227.7,1.298,0.167,0,0.933,2.22592,1.003420144,3.528656523,0.5831296722,1.5,0.14,0.2,1.1,22.3,0.78,19,8
17,0.17,0.83,0,42.00176,2.7747,1.1,0,227.7,1.298,0.167,0,0.933,2.22592,1.003420144,3.528656523,0.5831296722,1.5,0.14,0.2,1.06,21.4,0.77,17.5,8
18,0.17,0.83,0,42.00176,2.7747,1.1,0,227.7,1.298,0.167,0,0.933,2.22592,1.003420144,3.528656523,0.5831296722,1.5,0.14,0,1,21.2,0.69,14.5,8
19,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.4,0.2,0.946,17.51,0.671,11.11,9
20,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.63,0.22,0.18,1.145,23.28,0.76,20.61,10
21,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.15,0.3,1.071,20.62,0.748,16.2,11
22,0.14,0.81,0.05,46.80432,2.7284,1,0,207,1.18,0.15,0,0.85,2.024,1.04883092,3.473785443,0.5830039526,1.6,0.78,0,1.189,22.3,0.806,21.4,12
23,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.29,0.3,1.12,21.77,0.731,19.35,13
24,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.51,0.3,1.061,20.68,0.731,16.04,13
25,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.2,0.2,1.036,19.85,0.76,16.37,14
26,1,0,0,32.065,2.7,1,0,207,1.18,0,0.05,0.95,2.0475,1.040120664,3.499495199,0.5763125763,1.63,0.28,0.27,0.94,21.76,0.7,14.36,15
27,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.72,0.4,0.18,1.08,22,0.7,17.3,16
28,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.4,0.1,0.99,19.82,0.7,13.61,16
29,0,1,0,44.037,2.79,1,0,207,1.18,0,0,1,2.06,1.058477743,3.493388698,0.572815534,1.5,0.47,0.12,0.88,22,0.7,13.5,16
30,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.15,1.03,22.46,0.741,17.11,17
31,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.15,0.3,1.08,20.6,0.766,17,18
32,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.73,0.18,0.32,1.09,24.42,0.699,18.56,19
33,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.73,0.18,0.43,1.05,20.94,0.69,15.17,19
34,0,0.83,0.17,59.14456,2.6234,1,0,207,1.18,0.4,0,0.6,1.964,1.031737165,3.447060966,0.600814664,1.55,0.26,0.27,1.14,19.8,0.75,16.8,20
35,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.1,0.3,1.05,21.9,0.72,16.5,21
36,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.4,0.3,0.94,13.8,0.73,8.6,21
37,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.4,0.3,0.8,15.1,0.81,9.3,21
38,1,0,0,32.065,2.7,1,0,207,1.18,0,0.05,0.95,2.0475,1.040120664,3.499495199,0.5763125763,1.55,0.3,0.2,1.02,20.3,0.72,14.9,22
39,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.3,0.91,20.48,0.61,11.39,23
40,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.3,1.05,21.64,0.741,17.01,24
41,0.16,0.79,0.05,46.56488,2.7266,1,0,207,1.18,0.17,0,0.83,2.0192,1.048945787,3.470069934,0.5843898574,1.6,0.45,0.14,1.121,21.34,0.714,17,25
42,0.16,0.79,0.05,46.56488,2.7266,1,0,207,1.18,0.17,0,0.83,2.0192,1.048945787,3.470069934,0.5843898574,1.6,0.41,0.14,1.089,22.38,0.725,17.6,25
43,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.3,1.116,19.1,0.754,16.1,26
44,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.05,21.6,0.67,15.3,27
45,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.2,0.3,0.97,21.82,0.73,15.38,28
46,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.61,0.61,0.08,1.117,22.7,0.71,17.88,29
47,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,0.99,22,0.69,15,30
48,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.05,22.5,0.8,18.338,31
49,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.59,0.16,0.2,1.1,23.2,0.786,20.05,32
50,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.59,0.16,0.3,1.1,22.34,0.782,19.23,32
51,1,0,0,32.065,2.7,1,0,207,1.18,0.07,0,0.93,2.0432,1.040564931,3.495851132,0.5775254503,1.597,0.2146,0.216,1.065,22.95,0.7,17.11,33
52,1,0,0,32.065,2.7,1,0,207,1.18,0.05,0,0.95,2.048,1.040069082,3.499918928,0.576171875,1.591,0.213,0.213,1.064,23.52,0.72,18.02,33
53,1,0,0,32.065,2.7,1,0,207,1.18,0.04,0,0.96,2.0504,1.03982171,3.501952827,0.5754974639,1.585,0.21,0.21,1.052,23.08,0.69,16.75,33
54,1,0,0,32.065,2.7,1,0,207,1.18,0.03,0,0.97,2.0528,1.039574706,3.503986725,0.5748246298,1.579,0.207,0.207,1.026,23.04,0.69,16.31,33
55,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.565,0.2,0.2,1.016,22.92,0.67,15.6,33
56,1,0,0,32.065,2.7,1,0,207,1.18,0.33,0,0.67,1.9808,1.047148007,3.442969776,0.5957189015,1.725,0.28,0.28,0.827,7.72,0.6,3.83,33
57,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.15,0.3,1.07,22,0.768,18.1,34
58,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.2,0.3,0.92,18.6,0.72,12.3,34
59,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.084,22.2,0.771,18.55,35
60,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.03,20.4,0.749,15.7,36
61,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.6,0.28,0.2,1.14,23.7,0.78,20.5,37
62,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.1,0.3,1.04,20.2,0.74,15.4,38
63,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.3,0.3,0.9,19.3,0.67,11.5,38
64,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.15,0.2,1.09,19.5,0.76,16.22,39
65,0,0,1,132.905,1.81,1,0,207,1.18,0,0,1,2.06,0.8445997664,4.331208764,0.572815534,1.73,0.18,0.27,1.08,18.41,0.793,15.71,40
66,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1,21.8,0.726,15.9,41
67,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.029,21.08,0.745,16.11,42
68,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.04,23,0.64,15.4,43
69,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.15,0.2,1.08,21,0.786,17.8,44
70,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.3,1.06,20.5,0.741,16.1,44
71,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.2,0.3,0.98,19.1,0.78,14.7,45
72,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.2,0.3,1.11,20.7,0.709,16.3,46
73,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.2,0,1.039,20.71,0.704,15.15,47
74,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.2,0.3,1.024,17.91,0.672,12.33,47
75,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.2,0.3,1.07,20.58,0.748,16.47,48
76,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.2,0.3,0.95,16.47,0.721,11.26,48
77,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.075,21.88,0.769,18.08,49
78,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.2,0.3,0.96,19.8,0.79,15.01,50
79,0.16,0.79,0.05,46.56488,2.7266,1,0,207,1.18,0.17,0,0.83,2.0192,1.048945787,3.470069934,0.5843898574,1.6,0.34,0.01,1.158,22.32,0.792,20.46,51
80,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.4,0.1,0.95,21.03,0.755,15.1,52
81,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.4,0,0.95,22.44,0.771,16.4,52
82,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.4,0,0.92,21.73,0.758,15.2,52
83,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.4,0.2,0.91,20.92,0.76,14.5,52
84,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.33,1.05,20.7,0.7,15.3,53
85,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.05,22.8,0.72,17.2,53
86,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.3,1.04,19.1,0.68,13.5,53
87,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.4,0.2,1.06,21.7,0.75,17.4,54
88,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.15,0.2,1.05,22.7,0.8,19,54
89,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0,0.2,1.03,21.4,0.75,16.5,54
90,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.2,0.2,1,20.1,0.8,16.1,54
91,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.06,20.68,0.75,17.65,55
92,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.32,1.1,22.03,0.785,19.2,56
93,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.3,1.06,20.68,0.791,17.35,57
94,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.11,0.99,20.18,0.72,14.38,57
95,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.32,1.058,20.8,0.798,17.54,58
96,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.38,1.021,21.64,0.679,15,59
97,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.73,0.32,0.18,1.114,22.042,0.698,17.14,60
98,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.105,21.06,0.74,17.24,60
99,0,1,0,44.037,2.79,1,0,207,1.18,0,0,1,2.06,1.058477743,3.493388698,0.572815534,1.5,0.5,0.12,0.966,21.918,0.676,14.36,60
100,1,0,0,32.065,2.7,1,0,207,1.18,0,0.05,0.95,2.0475,1.040120664,3.499495199,0.5763125763,1.56,0.07,0.41,1.11,21.88,0.746,18.11,61
101,1,0,0,32.065,2.7,1,0,207,1.18,0,0.05,0.95,2.0475,1.040120664,3.499495199,0.5763125763,1.56,0.07,0.42,1.1,22.03,0.774,18.77,61
102,1,0,0,32.065,2.7,1,0,207,1.18,0,0.05,0.95,2.0475,1.040120664,3.499495199,0.5763125763,1.56,0.07,0.54,1.08,21.66,0.781,18.27,61
103,1,0,0,32.065,2.7,1,0,207,1.18,0,0.05,0.95,2.0475,1.040120664,3.499495199,0.5763125763,1.56,0.07,0.32,1.08,21.48,0.738,17.11,61
104,1,0,0,32.065,2.7,1,0,207,1.18,0,0.05,0.95,2.0475,1.040120664,3.499495199,0.5763125763,1.56,0.07,0.35,1.06,21.65,0.749,17.19,61
105,1,0,0,32.065,2.7,1,0,207,1.18,0,0.05,0.95,2.0475,1.040120664,3.499495199,0.5763125763,1.56,0.07,0.3,1.04,22,0.721,16.5,61
106,0,0,1,132.905,1.81,1,0,207,1.18,1,0,0,1.82,0.8555992052,4.127818934,0.6483516484,2.3,0.6,0.8,1.24,7.4,0.73,6.7,62
107,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.2,0.18,1.07,19.6,0.69,14.5,63
108,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.2,0.18,1.04,18.4,0.72,13.6,63
109,1,0,0,32.065,2.7,1,0,207,1.18,0,0.05,0.95,2.0475,1.040120664,3.499495199,0.5763125763,1.5,0.16,0.22,0.938,19.58,0.726,13.34,64
110,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.3,0.4,0.872,19.51,0.75,12.7,65
111,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.3,0.18,1.045,20.3,0.677,14.4,66
112,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.2,0.3,1.08,21.1,0.73,16.5,67
113,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.15,0.2,0.98,21.7,0.712,15.2,68
