Tolerance Factor,New Tolerance Factor,Octahedral Factor,Band gap,Del H,Del L,Voc,Jsc,FF,PCE
1.059577144,3.461318767,0.5843898574,1.56,0.63,0.02,1.12,21.06,0.704,16.6
1.044728445,3.504567747,0.572815534,1.57,0.105,0.27,1.058,21.73,0.724,16.65
1.038835888,3.51008842,0.572815534,1.5,0.21,0.37,1.05,20.71,0.7664,16.67
1.038254753,3.480306738,0.5843898574,1.57,0.16,0.57,1.06,22.44,0.704,16.71
1.03982171,3.501952827,0.5754974639,1.585,0.21,0.21,1.052,23.08,0.69,16.75
1.038254753,3.480306738,0.5843898574,1.57,0.16,0.36,1.07,21.9,0.7138,16.76
1.059446349,3.465084977,0.5830039526,1.73,0.39,0.43,1.133,20.4,0.72,16.8
1.031737165,3.447060966,0.600814664,1.55,0.26,0.27,1.14,19.8,0.75,16.8
1.038835888,3.51008842,0.572815534,1.5,0.4,0.3,1.02,21.87,0.75,16.8
1.038835888,3.51008842,0.572815534,1.69,0.45,0.34,1.05,22.6,0.712,16.89
1.059446349,3.465084977,0.5830039526,1.6,0.32,0.1,1.145,23.12,0.64,16.9
1.048646981,3.477564097,0.5816246057,1.63,0.63,0.05,1.135,21.83,0.684,16.95
1.038835888,3.51008842,0.572815534,1.5,0.15,0.3,1.08,20.6,0.766,17
1.048945787,3.470069934,0.5843898574,1.6,0.45,0.14,1.121,21.34,0.714,17
1.048945787,3.470069934,0.5843898574,1.6,0.45,0.14,1.121,21.34,0.714,17
1.038835888,3.51008842,0.572815534,1.5,0.18,0.3,1.05,21.64,0.741,17.01
1.038835888,3.51008842,0.572815534,1.5,0.23,0.3,1.07,20.37,0.78,17.02
1.038835888,3.51008842,0.572815534,1.5,0.15,0.2,1.02,21.44,0.77,17.05
1.040120664,3.499495199,0.5763125763,1.6,0.3,0,0.98,22.61,0.77,17.06
1.038835888,3.51008842,0.572815534,1.5,0.18,0.3,1.05,20.79,0.78,17.08
1.038835888,3.51008842,0.572815534,1.5,0.1,0,1.04,21.3,0.772,17.1
1.04883092,3.473785443,0.5830039526,1.612,0.18,0.41,1.054,21.7,0.7548,17.1
1.038835888,3.51008842,0.572815534,1.5,0.18,0.32,1.05,22.5,0.718,17.1
1.040120664,3.499495199,0.5763125763,1.56,0.07,0.32,1.08,21.48,0.738,17.11
1.040564931,3.495851132,0.5775254503,1.597,0.2146,0.216,1.065,22.95,0.7,17.11
1.038835888,3.51008842,0.572815534,1.5,0.18,0.15,1.03,22.46,0.741,17.11
1.04219179,3.464685822,0.5889662028,1.35,0.02,0.01,0.89,25.67,0.75,17.13
1.059446349,3.465084977,0.5830039526,1.73,0.32,0.18,1.114,22.042,0.698,17.14
1.040120664,3.499495199,0.5763125763,1.55,0.08,0.25,1.08,21.45,0.74,17.14
1.040120664,3.499495199,0.5763125763,1.56,0.07,0.35,1.06,21.65,0.749,17.19
1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.05,22.8,0.72,17.2
1.038835888,3.51008842,0.572815534,1.5,0.14,0.3,1.11,23.27,0.75,17.21
1.038835888,3.51008842,0.572815534,1.5,0.17,0.37,1.09,20.94,0.754,17.21
1.038835888,3.51008842,0.572815534,1.5,0.18,0.32,1.11,23.27,0.67,17.21
1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.105,21.06,0.74,17.24
1.038835888,3.51008842,0.572815534,1.5,0.23,0.27,1.06,20.2,0.813,17.3
1.059446349,3.465084977,0.5830039526,1.72,0.4,0.18,1.08,22,0.7,17.3
1.044728445,3.504567747,0.572815534,1.57,0.134,0.27,1.065,21.88,0.744,17.33
1.038835888,3.51008842,0.572815534,1.5,0.18,0.3,1.06,20.68,0.791,17.35
1.058477743,3.493388698,0.572815534,1.5,0.5,0.12,1.05,23,0.721,17.4
1.038835888,3.51008842,0.572815534,1.5,0.4,0.2,1.06,21.7,0.75,17.4
1.048593299,3.461367739,0.587883619,1.62,0.33,0.41,1.106,20.92,0.754,17.46
1.038835888,3.51008842,0.572815534,1.5,0.17,0.2,1.12,20.5,0.76,17.5
1.038835888,3.51008842,0.572815534,1.5,0.2,0.2,1.05,22.6,0.734,17.5
1.003420144,3.528656523,0.5831296722,1.5,0.14,0.2,1.06,21.4,0.77,17.5
1.059446349,3.465084977,0.5830039526,1.73,0.27,0.18,1.09,20.85,0.77,17.5
1.038835888,3.51008842,0.572815534,1.5,0.18,0.32,1.058,20.8,0.798,17.54
1.054200184,3.496622843,0.572815534,1.48,0.74,0,1.005,24.21,0.722,17.56
1.047041012,3.495956244,0.5752427184,1.25,0.2,0.15,0.75,30.36,0.76,17.59
1.003420144,3.528656523,0.5831296722,1.5,0.1,0,1.16,22.5,0.68,17.6
1.048945787,3.470069934,0.5843898574,1.6,0.41,0.14,1.089,22.38,0.725,17.6
1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.07,21.37,0.768,17.6
1.048945787,3.470069934,0.5843898574,1.6,0.41,0.14,1.089,22.38,0.725,17.6
1.038835888,3.51008842,0.572815534,1.5,0.15,0.2,1.1,20.5,0.78,17.6
1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.06,20.68,0.75,17.65
1.037076734,3.490414826,0.5809373769,1.59,0.43,0.21,1.098,22.53,0.71,17.77
1.038835888,3.51008842,0.572815534,1.45,0.06,0.11,1.06,22.35,0.75,17.78
1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.1,21.9,0.741,17.8
1.038835888,3.51008842,0.572815534,1.5,0.15,0.2,1.08,21,0.786,17.8
1.048945787,3.470069934,0.5843898574,1.6,0.34,0.14,1.15,21.4,0.72,17.8
1.038254753,3.480306738,0.5843898574,1.57,0.15,0.06,1.09,23.16,0.7088,17.88
1.059446349,3.465084977,0.5830039526,1.61,0.61,0.08,1.117,22.7,0.71,17.88
1.059446349,3.465084977,0.5830039526,1.73,0.18,0.43,1.087,22.3,0.74,17.9
1.061793356,3.3994428,0.6082474227,1.5,0.15,0.2,1.08,22.42,0.74,17.92
1.059577144,3.461318767,0.5843898574,1.58,0.4,0.06,1.06,22.08,0.767,18
1.040120664,3.499495199,0.5763125763,1.55,0.1,0.47,0.92,22.4,0.82,18
1.040069082,3.499918928,0.576171875,1.591,0.213,0.213,1.064,23.52,0.72,18.02
1.038835888,3.51008842,0.572815534,1.69,0.45,0.64,1.1,22.1,0.742,18.04
1.038835888,3.51008842,0.572815534,1.5,0.17,0.2,1.1,20.6,0.797,18.06
1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.075,21.88,0.769,18.08
1.038835888,3.51008842,0.572815534,1.5,0.15,0.3,1.07,22,0.768,18.1
1.040120664,3.499495199,0.5763125763,1.56,0.07,0.41,1.11,21.88,0.746,18.11
1.038835888,3.51008842,0.572815534,1.5,0.24,0.1,1.09,21.74,0.767,18.18
1.040120664,3.499495199,0.5763125763,1.7,0.42,0.6,1.07,21.83,0.78,18.23
1.040120664,3.499495199,0.5763125763,1.56,0.07,0.54,1.08,21.66,0.781,18.27
1.044728445,3.504567747,0.572815534,1.57,0.2,0.27,1.113,21.3,0.771,18.28
1.059446349,3.465084977,0.5830039526,1.73,0.35,0.43,1.145,20.7,0.77,18.3
1.038254753,3.480306738,0.5843898574,1.57,0.16,0.5,1.09,22.8,0.7366,18.31
1.044728445,3.504567747,0.572815534,1.57,0.23,0.27,1.044,21.66,0.81,18.32
1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.05,22.5,0.8,18.338
1.038835888,3.51008842,0.572815534,1.5,0.18,0,1.1,22.06,0.756,18.39
1.044728445,3.504567747,0.572815534,1.57,0.184,0.27,1.073,22.03,0.778,18.39
1.003420144,3.528656523,0.5831296722,1.5,0.3,0,1.13,22.6,0.71,18.5
1.038835888,3.51008842,0.572815534,1.5,0.18,0.32,1.07,22.9,0.74,18.5
1.040120664,3.499495199,0.5763125763,1.55,0.01,0.25,1.11,21.66,0.77,18.51
1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.084,22.2,0.771,18.55
1.059446349,3.465084977,0.5830039526,1.73,0.18,0.32,1.09,24.42,0.699,18.56
1.059446349,3.465084977,0.5830039526,1.58,0.05,0.3,1.13,23.4,0.703,18.6
1.048593299,3.461367739,0.587883619,1.62,0.33,0.25,1.134,21.36,0.769,18.64
1.038835888,3.51008842,0.572815534,1.55,0.05,0.26,1.1,21.78,0.7763,18.67
1.044728445,3.504567747,0.572815534,1.57,0.19,0.27,1.079,22.2,0.781,18.71
1.027503233,3.439577333,0.6062474312,1.6,0.5,0,1.153,22.18,0.733,18.76
1.027503233,3.439577333,0.6062474312,1.6,0.48,0,1.097,22.59,0.758,18.77
1.038254753,3.480306738,0.5843898574,1.57,0.13,0.06,1.09,23.17,0.7431,18.77
1.040120664,3.499495199,0.5763125763,1.56,0.07,0.42,1.1,22.03,0.774,18.77
1.038835888,3.51008842,0.572815534,1.5,0.15,0.2,"1,07","22,7",0.775,18.8
1.038835888,3.51008842,0.572815534,1.5,0.3,0.1,1.12,21.8,0.77,18.8
1.038835888,3.51008842,0.572815534,1.55,0.08,0.26,1.09,22.24,0.7891,18.81
1.040120664,3.499495199,0.5763125763,1.63,0.21,0.25,1.136,21.36,0.78,18.89
1.038835888,3.51008842,0.572815534,1.5,0.2,0.1,1.1,22.3,0.77,18.9
1.003420144,3.528656523,0.5831296722,1.5,0.2,0,1.15,21.5,0.76,18.9
1.059446349,3.465084977,0.5830039526,1.73,0.35,0.18,1.13,21.71,0.77,18.9
1.037076734,3.490414826,0.5809373769,1.59,0.43,0.14,1.097,23.21,0.74,18.99
1.003420144,3.528656523,0.5831296722,1.5,0.14,0.2,1.1,22.3,0.78,19
1.038835888,3.51008842,0.572815534,1.5,0.15,0.2,1.05,22.7,0.8,19
1.048945787,3.470069934,0.5843898574,0.16,0.48,0,1.076,22.7,0.78,19
1.038254753,3.480306738,0.5843898574,1.57,0.16,0.06,1.12,23.15,0.7339,19.03
1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.071,21.3,0.84,19.1
1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.09,23.91,0.73,19.12
1.044728445,3.504567747,0.572815534,1.57,0.196,0.27,1.085,22.29,0.791,19.13
1.038835888,3.51008842,0.572815534,1.5,0,0.3,1.11,21.23,0.81,19.14
1.048646981,3.477564097,0.5816246057,1.63,0.63,0.16,1.098,22.21,0.785,19.14
1.038835888,3.51008842,0.572815534,1.5,0.2,0,1.122,22.6,0.757,19.19
1.038835888,3.51008842,0.572815534,1.5,0.18,0.32,1.1,22.03,0.785,19.2
1.059446349,3.465084977,0.5830039526,1.73,0.43,0.18,1.13,23.67,0.72,19.2
1.04883092,3.473785443,0.5830039526,1.6,0.58,-0.1,1.09,22.62,0.779,19.2
1.059446349,3.465084977,0.5830039526,1.55,0.4,0.18,1.03,23.7,0.79,19.2
1.059446349,3.465084977,0.5830039526,1.59,0.16,0.3,1.1,22.34,0.782,19.23
1.044728445,3.504567747,0.572815534,1.57,0.212,0.27,1.072,22.3,0.807,19.29
1.038835888,3.51008842,0.572815534,1.5,0.29,0.3,1.12,21.77,0.731,19.35
1.038835888,3.51008842,0.572815534,1.69,0.45,0.27,1.16,22.3,0.752,19.42
1.059446349,3.465084977,0.5830039526,1.6,0.28,0.2,1.123,22.89,0.756,19.43
1.036275714,3.464403763,0.5915332601,1.62,0.84,0.57,1.1,22.56,0.785,19.48
1.038835888,3.51008842,0.572815534,1.5,0.18,0.3,1.11,22.64,0.776,19.5
1.038835888,3.51008842,0.572815534,1.5,0.3,0,1.07,22.6,0.806,19.5
1.038835888,3.51008842,0.572815534,1.5,0.35,0.3,1.11,22.7,0.78,19.54
1.038254753,3.480306738,0.5843898574,1.57,0.16,0.14,1.11,23.52,0.7506,19.6
1.038835888,3.51008842,0.572815534,1.5,0.1,0.3,1.08,22.47,0.81,19.66
1.059446349,3.465084977,0.5830039526,1.73,0.69,0.18,1.1,25.5,0.6985,19.68
1.048689536,3.472103832,0.5836960823,1.69,0.45,0.21,1.08,22.5,0.809,19.7
1.003420144,3.528656523,0.5831296722,1.5,0.1,0,1.17,22.2,0.77,19.8
1.059446349,3.465084977,0.5830039526,1.73,0.43,0.18,1.14,22.84,0.7579,19.81
1.044728445,3.504567747,0.572815534,1.57,0.201,0.27,1.082,22.51,0.815,19.85
1.048945787,3.470069934,0.5843898574,1.6,0.23,0.14,1.18,21.8,0.77,20
1.059446349,3.465084977,0.5830039526,1.58,0.72,0.02,1.14,22.58,0.78,20.02
1.038254753,3.480306738,0.5843898574,1.57,0.16,0.06,1.12,23.52,0.7601,20.02
1.059446349,3.465084977,0.5830039526,1.59,0.16,0.2,1.1,23.2,0.786,20.05
1.038835888,3.51008842,0.572815534,1.5,0.18,0.2,1.114,23.34,0.7731,20.1
1.038835888,3.51008842,0.572815534,1.59,0.4,0.3,1.03,23.51,0.83,20.1
1.059446349,3.465084977,0.5830039526,1.6,0.34,0.1,1.132,23.59,0.75,20.1
1.037076734,3.490414826,0.5809373769,1.59,0.43,0.21,1.084,22.66,0.82,20.16
1.059446349,3.465084977,0.5830039526,1.5,0.2,0.2,1.13,22.92,0.7805,20.2
1.059446349,3.465084977,0.5830039526,1.6,0.43,0.15,1.13,23.52,0.76,20.2
1.038835888,3.51008842,0.572815534,1.5,0.15,0.1,1.12,22.28,0.812,20.26
1.048646981,3.477564097,0.5816246057,1.63,0.63,0.12,1.168,22.51,0.776,20.4
1.048945787,3.470069934,0.5843898574,1.6,0.34,0.01,1.158,22.32,0.792,20.46
1.038254753,3.480306738,0.5843898574,1.57,0.14,0.06,1.13,23.62,0.7666,20.47
1.038254753,3.480306738,0.5843898574,1.57,0.14,0.06,1.13,23.62,0.7666,20.47
1.042873381,3.50625626,0.572815534,1.56,0.19,0.47,1.08,24.35,0.766,20.5
1.059446349,3.465084977,0.5830039526,1.6,0.28,0.2,1.14,23.7,0.78,20.5
1.059446349,3.465084977,0.5830039526,1.6,0.39,0.1,1.13,23.87,0.76,20.6
1.059446349,3.465084977,0.5830039526,1.63,0.22,0.18,1.145,23.28,0.76,20.61
1.038835888,3.51008842,0.572815534,1.5,0.15,0.2,1.11,24,0.78,20.7
1.059446349,3.465084977,0.5830039526,1.73,0.43,0.18,1.129,23.6,0.779,20.75
1.059446349,3.465084977,0.5830039526,1.55,0.4,0.18,1.14,23.7,0.78,21
1.00449529,3.518841423,0.5864864132,1.5,0.14,0,1.17,22.7,0.8,21.2
1.059446349,3.465084977,0.5830039526,1.58,0.44,0.3,1.1,23.4,0.827,21.3
1.059446349,3.465084977,0.5830039526,1.73,0.43,0.18,1.16,23.18,0.79,21.31
1.04883092,3.473785443,0.5830039526,1.6,0.78,0,1.189,22.3,0.806,21.4
1.036275714,3.464403763,0.5915332601,1.62,0.64,0.37,1.21,22.5,0.79,21.51
1.059446349,3.465084977,0.5830039526,1.58,0.06,0.3,1.14,23.4,0.823,22
